poste,entreprise,lieu,salary_min,salary_max,currency,description,source,pays
Machine Learning Software Engineer - Intern-to-full-time track,Incenteev,"15ème Arrondissement, Paris",1100,1500,,"As a Machine Learning Software Engineer , you’ll join our 11-person product team , reporting to the Head of Engineering and collaborating closely with our CEO . You’ll play a key role in designing and building innovative generative AI applications that empower training, management, and coaching for commercial and sales teams. What you’ll do: Stay at the forefront of innovation by actively tracking and analyzing the latest trends in generative AI technologies Design and develop Proofs of Concept…",adzuna_api,fr
Machine Learning Engineer – Computer Vision & Deep Learning-H/F,Twenty One Talents,"1er Arrondissement, Paris",45000,55000,,"Présentation de la société Structure technologique innovante, l'entreprise développe des solutions d’intelligence artificielle à fort impact dans le secteur de la restauration collective et de la santé. Nos produits, basés sur des technologies avancées de reconnaissance d’images et d’analyse de données, sont conçus pour optimiser les flux opérationnels et améliorer la qualité de service. Description Dans un contexte de développement intensif de produits IA à impact, vous contribuerez à : Concev…",adzuna_api,fr
"Ingénieur R&D Algorithmique & Logiciel– Python, Rust, Machine Learning F/H",Kelvya,"Nantes, Loire-Atlantique",40000,55000,,"La société recrutant est une PME à impact qui réinvente la consommation des matières premières pour ses clients industriels. Ses solutions innovantes allient à la fois bénéfices économiques et gains écologiques. Ce que tu rejoins : Une équipe à taille humaine, portée par un directeur de recherche passionné, composée de : 1 Ingénieur R&D Algorithmique & Logiciel (ton futur binôme) 2 Data Engineers 2 Ingénieurs de recherche Ton objectif : Faire le pont entre la recherche théorique et la performan…",adzuna_api,fr
Software Engineer,Dust,"Paris, Ile-de-France",40000,150000,,"About Dust We're creating a new AI operating system that has the potential to change the way companies operate . Our mission at Dust is to transform how work gets done by letting any team and employee shape the exact agents they need to accelerate their jobs. With 70% weekly active users, people stick with Dust as much as they do with Slack and Notion. We already are a core part of their jobs. We are at an exciting stage of our journey. We‘ve raised our Series A, expanded in the US, and hit the…",adzuna_api,fr
Software Engineer,Zefir,France,53000,85500,,"Who We Are Zefir is Europe's fastest-growing Real Estate Marketplace. We're transforming how homes are bought and sold, enabling transactions twice as fast as traditional methods. In just 20 months, we've achieved over €1 billion in Gross Merchandise Volume (GMV) and grown from €0 to a €15 million annual revenue run rate. Backed by over €40 million from top-tier investors like Sequoia Capital, Fintech Collective, Heartcore Capital, and Zigg Capital, we're committed to accelerating life changes …",adzuna_api,fr
Software Engineer - Applicative,Dark,"Paris, Ile-de-France",62,62,,"At Dark, we passionately believe that space represents not only a cornerstone of the modern world but also a catalyst for shaping our future. Our mission is clear: pioneering spacecraft and mission designs for the protection of vital orbits and assets. That is why we are gathering a team of bright minds to tackle crucial challenges through advanced engineering. Our focus? Velocity. We are kicking in technologies that will enable faster-than-ever orbital missions, ushering in a new era defined b…",adzuna_api,fr
Principal Software Engineer,Bluecoders,"Loire-Atlantique, Pays de la Loire",60000,60000,,"Description du poste Vous intégrez un acteur majeur et reconnu à l’échelle mondiale dans le secteur de la data et de l’analytics. Fort d’une expertise reconnue depuis plusieurs années, il accompagne ses clients dans la transformation d’environnements de données complexes en informations stratégiques exploitables. Avec une clientèle internationale de plusieurs dizaines de milliers d’utilisateurs, son portefeuille s’appuie sur des technologies avancées d’intelligence artificielle et de machine le…",adzuna_api,fr
Software Engineer - Stage,Spark,"10ème Arrondissement, Paris",1200,1500,," Travailler chez spark Nous construisons une équipe composée de personnes à haut potentiel, avec la volonté de bien faire, et de toujours se remettre en question avec humilité pour s’améliorer individuellement et collectivement. Nous souhaitons que cette équipe évolue dans un cadre de travail exceptionnel, au sein duquel le bien-être, la progression et le développement des collaborateurs est une priorité. En tant que Software Engineer, tu bénéficieras d’un parcours de montée en compétences enca…",adzuna_api,fr
Senior Software Engineer,Wanteeed,"Gironde, Nouvelle-Aquitaine",45000,60000,,"Au sein d’une squad multidisciplinaire (Tech, Produit, Data), tes principales missions seront : Participer à la recherche de solutions (fonctionnelles et techniques) pour les problèmes métier priorisés Développer des solutions de manière itérative en flux continu et avec des cycles de livraison courts (Lean) Garantir la qualité et assurer le suivi en production des livraisons Maîtriser le périmètre technique actuel et futur de l’équipe Améliorer les process et pratiques techniques de l’équipe P…",adzuna_api,fr
Software Engineer - Integrations,Dashdoc,"9ème Arrondissement, Paris",40000,60000,," Tech Team and Technical Stack We are building the infrastructure and interfaces necessary to optimize the main processes of road freight transport. Currently, the tech team consists of 20 people; you will have a significant impact on the evolution of the company and the product! The product is divided into three parts: the API, the mobile app, and the web app. The API is developed in Python/Django with Django Rest Framework, uses PostgreSQL, and is hosted on Google Cloud. The apps are develope…",adzuna_api,fr
Software Engineer Nodejs,Kraaft,"2ème Arrondissement, Paris",50000,80000,,"Envie de développer une app pour des milliers d’utilisateurs qui l’adorent ? Impatient de réaliser une app performante et scalable ? C’est ici que ça se passe !  Mission Tu cherches une équipe où tout le monde parle le même langage ? Chez nous, il n’y a que des développeurs typescript ! Aujourd’hui, nous sommes 6, mais demain, nous serons 12 : deux squads prêtes à relever de grands défis techniques ensemble. Et c’est là que tu entres en jeu.  Ta mission (si tu l’acceptes) : Coder avec impact : …",adzuna_api,fr
"Software Engineer, Frontend",Dust,"Paris, Ile-de-France",60000,150000,,"About Dust We're creating a new AI operating system that has the potential to change the way companies operate . Our mission at Dust is to transform how work gets done by letting any team and employee shape the exact agents they need to accelerate their jobs. With 70% weekly active users, people stick with Dust as much as they do with Slack and Notion. We already are a core part of their jobs. We are at an exciting stage of our journey. We‘ve raised our Series A, expanded in the US, and hit the…",adzuna_api,fr
Ingénieur Basic Software - Embedded Software Engineer H/F,TMC France,France,45000,65000,,"VOTRE CHALLENGE ? Nous recherchons un Ingénieur Basic Software - Embedded Software Engineer rejoindre notre équipe dynamique. Dans ce cadre, vous serez amené à : - Participer aux revues des exigences logicielles amont afin de définir la configuration la plus adaptée ou proposer des solutions répondants aux besoins du client ; - Participer à la conception de l'architecture du logiciel en coordination avec l'architecte logiciel ; - Définir la conception détaillée pour chaque composant logiciel et…",adzuna_api,fr
Software Engineer Senior JAVA,Bluecoders,"Loire-Atlantique, Pays de la Loire",60000,60000,,"Description du poste Vous intégrez un acteur majeur et reconnu à l’échelle mondiale dans le secteur de la data et de l’analytics. Fort d’une expertise reconnue depuis plusieurs années, il accompagne ses clients dans la transformation d’environnements de données complexes en informations stratégiques exploitables. Avec une clientèle internationale de plusieurs dizaines de milliers d’utilisateurs, son portefeuille s’appuie sur des technologies avancées d’intelligence artificielle et de machine le…",adzuna_api,fr
Software Engineer F/H,Médiane Benelux,France,45000,45000,,"Notre client est une entreprise de renommée internationale, leader dans le domaine de l'automatisation du contrôle d'accès. Présente depuis plus de 50 ans, la société conçoit, fabrique et installe une large gamme de systèmes électromécaniques de contrôle d'accès pour piétons, véhicules et passagers. Leurs équipements sont utilisés quotidiennement par plus de 100 millions d'utilisateurs dans le monde entier. Nous recherchons un Software Engineer passionné par l'innovation et le développement de …",adzuna_api,fr
Software Engineer H/F,Recrulab,"Rhône, Auvergne-Rhône-Alpes",50000,65000,,"PRÉSENTATION DE L'ENTREPRISE L'entreprise que nous accompagnons est un client final situé dans Lyon 8. Afin d'accompagner sa croissance, nous l'aidons à recruter un Software Engineer H/F en CDI. DESCRIPTION DU POSTE Vous jouerez un rôle clé dans la définition des bases et de l'évolutivité des composants technologiques. Vous collaborerez étroitement avec des équipes pluridisciplinaires pour concevoir et livrer des solutions qui alimenteront la Tech Platform destinée à accélérer la transformation…",adzuna_api,fr
Lead Backend Software Engineer,Find Labs,France,80000,80000,,"Find Labs are a team of builders and technologists united in the mission of helping companies and projects innovate by providing them with customised blockchain infrastructure that aligns with their vision. The Role You’ll lead the architecture of our core systems, mentor other engineers, and help us scale our infrastructure as our CTO transitions into a more R&D-heavy role. If you’re someone who thrives on autonomy, enjoys ownership, and wants to shape the technical direction of a product with…",adzuna_api,fr
Founding Software Engineer IA,Team Is,"8ème Arrondissement, Paris",80000,110000,,"Présentation de la société Lancé en 2021, Team.is est u ne start-up de recrutement spécialisée dans la chasse et le recrutement de profils IT, Digital, Ingénierie & Supply Chain. Team.is c'est avant tout une entreprise à taille humaine animée par la passion du recrutement ! Team.is possède l’expertise et l’énergie pour s’attaquer à n’importe quel défi. Mais nous ne sommes pas des robots du recrutement. Nous sommes des consultants qui vivent et respirent ce que nous faisons ! Nous sommes détermi…",adzuna_api,fr
Software Engineer H/F,Ippon Technologies,"Saint-Cyr-sur-Loire, Tours",40000,50000,,"La communauté Software engineering rassemble 200 passionné·e·s en France : développeur·euse·s front, back et fullstack. Son expertise réside dans la construction d'applications web, le plus souvent sur des projets from scratch, et toujours dans le respect de l'esprit software craftsmanship : la qualité de code avant tout ! Notre communauté est organisée en core team avec des local leaders en agence et des leaders par vertical (commerce, recrutement, offres, communauté). Cette core team porte la…",adzuna_api,fr
Software Engineer H/F,Ippon Technologies,"Rhône, Auvergne-Rhône-Alpes",37000,65000,,"Créée en 2017, l'agence de Lyon, ce sont des passionné·es intervenant·es sur des projets à forte technicité ou en conseil et architecture. La pluridisciplinarité, l'expertise, l'écoute, l'adaptabilité mais aussi le partage de connaissances fondent notre engagement au service de nos partenariats. Focus sur Ippon Lyon : - Nous sommes environ 60 consultant·es technophiles - Nous sommes au coeur du quartier Confluence - Nous ne démarrons pas sans prendre un café (thé, chocolat) - Nous adorons faire…",adzuna_api,fr
Architecte Cloud H/F,REDSUP,"Yvelines, Ile-de-France",55000,58000,,"Contexte Dans le cadre de la migration d'un portefeuille applicatif vers une infrastructure cloud privé basée sur VMware (Linux/Windows), une équipe IT recherche un(e) Architecte Solutions pour accompagner les squads applicatives dans la définition et la mise en oeuvre des nouvelles architectures. L'environnement est technique, exigeant, et orienté production à grande échelle. Missions - Participer activement au plan d'urbanisation et de migration vers le cloud privé - Accompagner et conseiller…",adzuna_api,fr
Expert Experte Cloud H/F,EDF,"Rhône, Auvergne-Rhône-Alpes",52000,70000,,"Rejoignez la Division Numérique et devenez acteur de la transformation numérique de la Direction du Parc Nucléaire et Thermique d'EDF ! Lancée en janvier 2025, la Division Numérique est responsable de l'ensemble du SI de la production d'électricité nucléaire et thermique. Elle mène un programme innovant visant à moderniser nos outils et processus pour améliorer l'efficacité de 45 000 collaborateurs. En intégrant des technologies de pointe comme le cloud, la data et l'IA, vous participerez à l'o…",adzuna_api,fr
Ingénieur Cloud Azur H/F,Groupe OGF,"Paris, Ile-de-France",60000,70000,,"Le rôle de l'ingénieur de production informatique est essentiel pour assurer le bon fonctionnement des systèmes informatiques au sein d'une organisation, en veillant à ce que ceux-ci soient opérationnels, sécurisés et conformes aux exigences de l'entreprise, tout en optimisant les processus et en gérant les ressources. Ses missions consistent à : Gestion et planification des opérations informatiques de production : superviser et gérer les opérations quotidiennes de l'infrastructure informatique…",adzuna_api,fr
Data Engineer Secteur Industrie H/F,Le Recrut'heure,"Onnaing, Anzin",35000,45000,,"Le Recrut'Heure est fier d'accompagner un fleuron industriel des Hauts-de-France dans la recherche de son futur Data Engineer. Pourquoi ce poste ? - Contexte solide, client final reconnu - Environnement stimulant et en forte croissance - Projets à impact réel - Évolutions professionnelles à moyen terme Votre rôle Vous interviendrez sur tout le cycle de la donnée, de bout en bout : - Recueillir les besoins auprès des métiers - Modéliser les données (modélisation en étoile maîtrisé) - Concevoir l…",adzuna_api,fr
Data Engineer,Ideal Match,"Rhône, Auvergne-Rhône-Alpes",350,400,,Présentation de la société Nous recherchons un Data Engineer (F/H) pour intervenir sur un projet d’envergure et contribuer à la gestion et l’optimisation des flux de données. Description Vos missions Concevoir et optimiser les pipelines de traitement des données avec Spark et Scala . Travailler sur des volumes de données massifs et assurer leur qualité et leur performance. Développer et maintenir des solutions de data processing adaptées aux besoins métiers. Collaborer avec les équipes techniqu…,adzuna_api,fr
Alternance - Data Scientist H/F,Compagnie des Cuirs Precieux,"Boën, Montbrison",486,1802,,"Alternance de 12 mois à partir de septembre 2025 Localisation : Paris Contexte Hermès Cuirs Précieux (HCP) est une filiale d'Hermès, spécialisée dans la fabrication de cuirs d'exception. Reconnue pour le savoir-faire de ses 800 collaborateurs dans le tannage et la finition de peaux précieuses, HCP construit et valorise plusieurs filières (exotique, veau, chèvre) lui permettant de s'assurer de la traçabilité et du bien-être animal. En 2018, un nouvel ERP est mis en place pour la gestion de l'act…",adzuna_api,fr
Data Scientist,Kaino,"8ème Arrondissement, Paris",50000,54000,,"Description du poste Client final / Retail Tech Entreprise en forte croissance CDI – Paris Kaino, cabinet de recrutement spécialisé en Data , recrute un·e Data Scientist (CDI) pour une entreprise technologique innovante, éditrice d’une plateforme SaaS d’analytique avancée . Au sein de l’équipe data science, tu évolueras dans un environnement dynamique, en forte croissance, où l’autonomie et la prise d’initiative sont encouragées, avec un véritable rôle transverse auprès des équipes internes et …",adzuna_api,fr
Data Scientist,STEP Consulting,"Isère, Auvergne-Rhône-Alpes",50000,90000,,"Data scientist, vous participerez au développement de solutions analytiques / IA ayant un impact concret pour des centaines d’utilisateurs. Vous devrez proposer des méthodes articulant les modèles et algorithmes pertinents dans le respect des délais, avec un haut niveau de qualité. La plupart des développements sont en Python, SQL et PyTorch. Vous pourrez contribuer au développement de briques technologiques propriétaires à fort impact (plateforme D3S et algos). Une R&D active sur projet client…",adzuna_api,fr
Data Scientist,Ask for the moon,"11ème Arrondissement, Paris",45000,65000,," Join Ask for the Moon’s adventure — Build the industry-specific AI of tomorrow! Under the guidance of our Lead Data Scientist and as part of a passionate, supportive technical team, you’ll play a pivotal role in designing, developing and assuring the quality of the AI components in our product.  What you’ll work on:  Generative AI, RAG, LLMs & Agentic AI – create robust AI assistants for critical industrial environments. ️ Knowledge mapping – model domain expertise via ontologies and knowledge…",adzuna_api,fr
Stage Ingénieur Ouvrier - IA - Machine Learning 2025,Diduenjoy,"10ème Arrondissement, Paris",700,700,,"Quelques informations à l’intention des candidats : Il ne s’agit pas d’une offre d’alternance. Il ne s’agit pas d’une offre pour un stage de développement mais d’un stage ouvrier. Il ne s’agit pas d’une offre pour un stage de fin d’étude. Les candidatures pour l’un de ces points ne seront pas traitées \  Diduenjoy récolte chaque mois pour le compte de ses entreprises clientes via ses questionnaires de satisfaction (NPS, CSAT…) Ces données “non structurées” où les consommateurs expriment avec le…",adzuna_api,fr
Data Scientist Machine Learning / Deep Learning (IT),Montreal Associates,France,400,450,,Responsabilités principales : Analyser les problématiques métier et évaluer la pertinence d'approches ML/DL via l'exploration des données. Concevoir et mettre en production des modèles industrialisables. Préparer et traiter des volumes importants de données pour l'entraînement des modèles. Appliquer les bonnes pratiques en MLOps et assurer l'explicabilité des modèles. Communiquer efficacement les résultats aux parties prenantes et suivre la performance des modèles dans la durée. Intervenir sur …,adzuna_api,fr
Alternance - Machine Learning Engineer - Data Scientist H/F,AXA en France,"Suresnes, Nanterre",842,2158,,"Au sein de la Direction Technique de Direct Assurance, dans l'équipe responsable de la tarification du produit Multirisques Habitation, vous aurez l'opportunité de contribuer à l'innovation en automatisant l'entraînement de modèles grâce à des technologies MLOPS de pointe (Databricks, MLFlow, Kedro, etc.). Au cours de votre alternance, vous participerez à l'ensemble de la chaîne d'optimisation tarifaire lors des déménagements. Vous serez amené à travailler sur les sujets suivants : - Automatisa…",adzuna_api,fr
Senior AI / Machine Learning Engineer (F/H/X),iAdvize,"Loire-Atlantique, Pays de la Loire",60000,70000,, Descriptif du poste  > 5 ans d’expérience.  Entre 60 et 70 K€ brut par an (selon localisation et expérience).  Nantes (Gare Sud) ou Paris (Opéra). ⏳ Prise de poste dès septembre 2025.  Télétravail 3 jours par semaine.  iAdvize is an international company : you must have a fairly good English level for this position ( >B2 ).  L’équipe Notre mission chez iAdvize ? Transformer l’expérience client grâce à nos Copilot for Shoppers et Copilot for Agents embarquant notre IA générative de Confiance ✨ …,adzuna_api,fr
